filename,subjectID,date,time,Condition,c_repeatagree3plus,n_game,p_hi_13_1,p_hi_13_2,p_lm_13_1,p_lm_13_2,p_lm_22_1,p_lm_22_2,p_lm_1,p_lm_2,p_rp_1,p_rp_2,p_inconsistent_13_1,p_inconsistent_13_2,p_inconsistent_22_1,p_inconsistent_22_2,p_inconsistent_1,p_inconsistent_2,Pattern_p_hi_h1_1,Pattern_p_hi_h1_2,Pattern_p_hi_h1_3,Pattern_p_hi_h1_4,Pattern_p_hi_h1_5,Pattern_p_hi_h1_6,Pattern_p_hi_h1_7,Pattern_p_lm_h1_1,Pattern_p_lm_h1_2,Pattern_p_lm_h1_3,Pattern_p_lm_h1_4,Pattern_p_lm_h1_5,Pattern_p_lm_h1_6,Pattern_p_lm_h1_7,Pattern_p_rp_h1_1,Pattern_p_rp_h1_2,Pattern_p_rp_h1_3,Pattern_p_rp_h1_4,Pattern_p_rp_h1_5,Pattern_p_rp_h1_6,Pattern_p_rp_h1_7,all_RT_h1_ 1,all_RT_h1_ 2,all_RT_h1_ 3,all_RT_h1_ 4,all_RT_h1_ 5,all_RT_h1_ 6,all_RT_h1_ 7,all_RT_h1_ 8,all_RT_h1_ 9,all_RT_h1_10,all_p_ac_h1_ 1,all_p_ac_h1_ 2,all_p_ac_h1_ 3,all_p_ac_h1_ 4,all_p_ac_h1_ 5,all_p_ac_h1_ 6,all_p_ac_h1_ 7,all_p_ac_h1_ 8,all_p_ac_h1_ 9,all_p_ac_h1_10,all_p_hi_h1_ 1,all_p_hi_h1_ 2,all_p_hi_h1_ 3,all_p_hi_h1_ 4,all_p_hi_h1_ 5,all_p_hi_h1_ 6,all_p_hi_h1_ 7,all_p_hi_h1_ 8,all_p_hi_h1_ 9,all_p_hi_h1_10,all_p_lm_h1_ 1,all_p_lm_h1_ 2,all_p_lm_h1_ 3,all_p_lm_h1_ 4,all_p_lm_h1_ 5,all_p_lm_h1_ 6,all_p_lm_h1_ 7,all_p_lm_h1_ 8,all_p_lm_h1_ 9,all_p_lm_h1_10,all_p_rp_h1_ 1,all_p_rp_h1_ 2,all_p_rp_h1_ 3,all_p_rp_h1_ 4,all_p_rp_h1_ 5,all_p_rp_h1_ 6,all_p_rp_h1_ 7,all_p_rp_h1_ 8,all_p_rp_h1_ 9,all_p_rp_h1_10,n_game_h1,Pattern_p_hi_h6_1,Pattern_p_hi_h6_2,Pattern_p_hi_h6_3,Pattern_p_hi_h6_4,Pattern_p_hi_h6_5,Pattern_p_hi_h6_6,Pattern_p_hi_h6_7,Pattern_p_lm_h6_1,Pattern_p_lm_h6_2,Pattern_p_lm_h6_3,Pattern_p_lm_h6_4,Pattern_p_lm_h6_5,Pattern_p_lm_h6_6,Pattern_p_lm_h6_7,Pattern_p_rp_h6_1,Pattern_p_rp_h6_2,Pattern_p_rp_h6_3,Pattern_p_rp_h6_4,Pattern_p_rp_h6_5,Pattern_p_rp_h6_6,Pattern_p_rp_h6_7,all_RT_h6_ 1,all_RT_h6_ 2,all_RT_h6_ 3,all_RT_h6_ 4,all_RT_h6_ 5,all_RT_h6_ 6,all_RT_h6_ 7,all_RT_h6_ 8,all_RT_h6_ 9,all_RT_h6_10,all_p_ac_h6_ 1,all_p_ac_h6_ 2,all_p_ac_h6_ 3,all_p_ac_h6_ 4,all_p_ac_h6_ 5,all_p_ac_h6_ 6,all_p_ac_h6_ 7,all_p_ac_h6_ 8,all_p_ac_h6_ 9,all_p_ac_h6_10,all_p_hi_h6_ 1,all_p_hi_h6_ 2,all_p_hi_h6_ 3,all_p_hi_h6_ 4,all_p_hi_h6_ 5,all_p_hi_h6_ 6,all_p_hi_h6_ 7,all_p_hi_h6_ 8,all_p_hi_h6_ 9,all_p_hi_h6_10,all_p_lm_h6_ 1,all_p_lm_h6_ 2,all_p_lm_h6_ 3,all_p_lm_h6_ 4,all_p_lm_h6_ 5,all_p_lm_h6_ 6,all_p_lm_h6_ 7,all_p_lm_h6_ 8,all_p_lm_h6_ 9,all_p_lm_h6_10,all_p_rp_h6_ 1,all_p_rp_h6_ 2,all_p_rp_h6_ 3,all_p_rp_h6_ 4,all_p_rp_h6_ 5,all_p_rp_h6_ 6,all_p_rp_h6_ 7,all_p_rp_h6_ 8,all_p_rp_h6_ 9,all_p_rp_h6_10,n_game_h6,p_ac,n_c10_correct,pvalue_ac
TMS_behavior_102_20180406T122818.mat,102,20180406,12:28:18,young,NaN,128,0.59375,0.53125,0.09375,0.46875,0.15625,0.0714285714285714,0.125,0.283333333333333,0.5625,0.5,0.0625,0.4375,0.1875,0.1875,0.125,0.3125,0.714285714285714,NaN,NaN,NaN,NaN,0.666666666666667,0.416666666666667,0,0.1875,0.166666666666667,NaN,0.1,0,0.25,0.714285714285714,0.8125,0.166666666666667,NaN,0.1,0.666666666666667,0.583333333333333,0.420993765390449,0.378130869434244,0.520632701782233,0.602894659779849,1.32483366200177,NaN,NaN,NaN,NaN,NaN,0.4375,0.5,0.53125,0.46875,0.84375,NaN,NaN,NaN,NaN,NaN,NaN,0.5625,0.571428571428571,0.6875,0.59375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.538461538461538,0.125,NaN,NaN,NaN,NaN,NaN,NaN,0.5625,0.34375,0.625,0.5625,1,1,1,1,1,64,0.4,NaN,NaN,0.6,NaN,0.5,1,0.6,0.0833333333333333,0.125,0.4,0,0.5,0,0.4,0.571428571428571,0.875,0.6,0.2,0.5,0,0.421496825361828,0.378596933644076,0.434711877715017,0.588804979093766,1.04117035115087,0.718571156081453,0.464472387577189,0.313538179563693,0.333690206081883,0.372762085204158,0.5,0.53125,0.625,0.65625,0.6875,0.78125,0.78125,0.828125,0.859375,0.875,NaN,0.65625,0.909090909090909,0.53125,0.53125,0.234375,0.0909090909090909,0.09375,0.0483870967741935,0.03125,NaN,NaN,0.380952380952381,0.419354838709677,0.283333333333333,0.140625,0.140625,0.125,0.125,0.109375,NaN,0.65625,0.59375,0.53125,0.5,0.28125,0.1875,0.140625,0.09375,0.015625,64,0.875,56,2.78133516218304e-10
TMS_behavior_103_20180411T131817.mat,103,20180411,13:18:17,young,NaN,128,0.305555555555556,0.75,0.138888888888889,0.178571428571429,0,0.138888888888889,0.078125,0.15625,0.359375,0.5625,0.0555555555555556,0.214285714285714,0,0.166666666666667,0.03125,0.1875,0.5,NaN,NaN,0.142857142857143,NaN,0.5,0.3,0.25,0,0,0.142857142857143,0,0,0.1,0.5,0.6,0.166666666666667,0.142857142857143,0,0.5,0.7,0.561130792826589,0.431219265326945,0.519984819202364,0.619370459848142,0.993099933435587,NaN,NaN,NaN,NaN,NaN,0.53125,0.59375,0.53125,0.59375,0.796875,NaN,NaN,NaN,NaN,NaN,NaN,0.6875,0.5,0.59375,0.305555555555556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.409090909090909,0.333333333333333,0.078125,NaN,NaN,NaN,NaN,NaN,NaN,0.6875,0.5625,0.5625,0.359375,1,1,1,1,1,64,0.666666666666667,NaN,NaN,0.875,NaN,0.5,0.875,0,0.142857142857143,0.0833333333333333,0.375,0.2,0.166666666666667,0.125,0.666666666666667,0.714285714285714,0.583333333333333,0.875,0.4,0.5,0.125,0.561244533735589,0.425323941552051,0.434099720932863,0.504175636247965,1.02055617311271,0.795506185477279,0.63152203766731,0.423377589228039,0.36352306421395,0.25814840187013,0.3125,0.5,0.4375,0.5625,0.65625,0.859375,0.828125,0.84375,0.84375,0.859375,NaN,0.625,0.666666666666667,0.6875,0.75,0.5,0.194444444444444,0.125,0.155172413793103,0.15625,NaN,NaN,0.45,0.678571428571429,0.15625,0.125,0.125,0.09375,0.140625,0.109375,NaN,0.625,0.5625,0.625,0.5625,0.265625,0.125,0.109375,0.15625,0.078125,64,0.859375,55,1.77111159072041e-09
TMS_behavior_104_20180412T134517.mat,104,20180412,13:45:17,young,NaN,128,0.466666666666667,0.529411764705882,0.133333333333333,0.235294117647059,0.0625,0.0333333333333333,0.0967741935483871,0.140625,0.40625,0.546875,0.133333333333333,0.352941176470588,0.117647058823529,0.0666666666666667,0.125,0.21875,0.5,NaN,NaN,0.125,NaN,0.5,1,0,0,0.1,0.375,0.0625,0.0714285714285714,0,0.5,0.666666666666667,0.1,0.125,0.611111111111111,0.5,0,0.507078662802087,0.492374271714652,0.542632489214157,0.794942230782908,1.21226914250292,NaN,NaN,NaN,NaN,NaN,0.5625,0.625,0.34375,0.5,0.8125,NaN,NaN,NaN,NaN,NaN,NaN,0.4375,0.888888888888889,0.59375,0.466666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.428571428571429,0.466666666666667,0.0967741935483871,NaN,NaN,NaN,NaN,NaN,NaN,0.4375,0.78125,0.53125,0.40625,1,1,1,1,1,64,0.5,NaN,NaN,0.583333333333333,NaN,0.4375,1,0,0.1,0,0.416666666666667,0,0.1875,0,0.5,0.7,0.5,0.583333333333333,1,0.4375,0,0.4710315648299,0.443945331713621,0.542046827806189,0.671803338431346,1.70919336389852,0.842508284506039,0.672927563737176,0.451749439671403,0.316892896884383,0.255425744999229,0.53125,0.625,0.4375,0.5625,0.828125,0.859375,0.875,0.90625,0.9375,0.90625,NaN,0.65625,0.909090909090909,0.5,0.529411764705882,0.28125,0.0833333333333333,0.0625,0.0161290322580645,0.046875,NaN,NaN,0.285714285714286,0.483870967741936,0.140625,0.0625,0.0625,0.03125,0.015625,0.046875,NaN,0.65625,0.75,0.6875,0.546875,0.125,0.109375,0.09375,0.03125,0.03125,64,0.90625,58,4.51438886273081e-12
TMS_behavior_105_20180413T135730.mat,105,20180413,13:57:30,young,NaN,128,0.475,0.583333333333333,0.125,0.25,0.0833333333333333,0.125,0.109375,0.171875,0.546875,0.640625,0.05,0.166666666666667,0.166666666666667,0.15,0.09375,0.15625,0.5,NaN,NaN,0.333333333333333,NaN,0.5,1,0.25,0.2,0,0.166666666666667,0,0.0555555555555556,0,0.5,0.6,0.8,0.333333333333333,1,0.5,0,0.727244299851009,0.516588269692875,0.716066065786436,1.30284820281668,2.02155406580277,NaN,NaN,NaN,NaN,NaN,0.5625,0.5,0.5625,0.4375,0.828125,NaN,NaN,NaN,NaN,NaN,NaN,0.625,0.916666666666667,0.40625,0.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.315789473684211,0.548387096774194,0.109375,NaN,NaN,NaN,NaN,NaN,NaN,0.625,0.6875,0.625,0.546875,1,1,1,1,1,64,1,NaN,NaN,0.25,NaN,1,0.5,0,0.166666666666667,0.125,0.25,0.0833333333333333,0.333333333333333,0.25,1,0.666666666666667,0.625,0.25,0.75,1,0.5,0.648621887514309,0.490681639184913,0.550180454221845,0.635226403439447,1.82322968626977,1.77918560890612,1.37869229140415,1.15008690672039,0.97926725983416,0.82119813641475,0.5625,0.46875,0.5625,0.46875,0.765625,0.765625,0.765625,0.78125,0.8125,0.8125,NaN,0.59375,0.692307692307692,0.75,0.583333333333333,0.3125,0.0869565217391304,0.203125,0.0350877192982456,0.09375,NaN,NaN,0.421052631578947,0.571428571428571,0.171875,0.15625,0.158730158730159,0.125,0.046875,0.03125,NaN,0.59375,0.65625,0.65625,0.640625,0.21875,0.15625,0.203125,0.09375,0.0625,64,0.8125,52,2.28330534923771e-07
TMS_behavior_106_20190131T115321.mat,106,20190131,11:53:21,young,NaN,128,0.5,0.535714285714286,0.166666666666667,0.321428571428571,0,0.194444444444444,0.09375,0.25,0.5,0.53125,0.222222222222222,0.357142857142857,0,0.0555555555555556,0.125,0.1875,0.583333333333333,NaN,NaN,0.333333333333333,NaN,0.5,0.5,0.0833333333333333,0,0,0,0,0.333333333333333,0.166666666666667,0.583333333333333,0.333333333333333,0.5,0.333333333333333,0.6,0.5,0.5,0.538360890153854,0.431912342177384,0.470175417667633,0.560051169995859,1.42601081811881,NaN,NaN,NaN,NaN,NaN,0.4375,0.375,0.5,0.375,0.78125,NaN,NaN,NaN,NaN,NaN,NaN,0.5625,0.785714285714286,0.53125,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.647058823529412,0.620689655172414,0.09375,NaN,NaN,NaN,NaN,NaN,NaN,0.5625,0.625,0.5625,0.5,1,1,1,1,1,64,0.5,NaN,NaN,0.5,NaN,1,0.5,0.3,0.25,0.2,0.3,0.142857142857143,0,0.5,0.5,0.25,1,0.5,0.428571428571429,1,0.5,0.592753871573223,0.440710380018572,0.476657366565632,0.451235653919866,1.24356177438312,0.780880130940204,0.644803382201644,0.508961857172835,0.355210049357993,0.305717492021358,0.625,0.34375,0.53125,0.5625,0.75,0.65625,0.734375,0.78125,0.859375,0.875,NaN,0.65625,0.727272727272727,0.65625,0.535714285714286,0.609375,0.363636363636364,0.328125,0.155555555555556,0.125,NaN,NaN,0.421052631578947,0.448275862068966,0.25,0.3125,0.238095238095238,0.140625,0.171875,0.0625,NaN,0.65625,0.5625,0.46875,0.53125,0.5625,0.453125,0.328125,0.296875,0.203125,64,0.875,56,2.78133516218304e-10
TMS_behavior_107_20190131T130658.mat,107,20190131,13:06:58,young,NaN,128,0.392857142857143,0.416666666666667,0.535714285714286,0.361111111111111,0.333333333333333,0.5,0.421875,0.421875,0.328125,0.453125,0.357142857142857,0.388888888888889,0.222222222222222,0.571428571428571,0.28125,0.46875,0.25,NaN,NaN,0.375,NaN,0.5,0.666666666666667,0.583333333333333,0.416666666666667,0.3125,0.625,0.25,0.5,0.333333333333333,0.25,0.25,0.4375,0.375,0.25,0.5,0.333333333333333,0.518622692667122,0.338785967665899,0.352745236872579,0.37275477014191,0.330581882823026,NaN,NaN,NaN,NaN,NaN,0.4375,0.4375,0.59375,0.53125,0.578125,NaN,NaN,NaN,NaN,NaN,NaN,0.75,0.625,0.65625,0.392857142857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.478260869565217,0.448275862068966,0.421875,NaN,NaN,NaN,NaN,NaN,NaN,0.75,0.53125,0.5625,0.328125,1,1,1,1,1,64,0.333333333333333,NaN,NaN,0.25,NaN,0.5,0.625,0,0.7,0.428571428571429,0.583333333333333,0.25,0.3,0.375,0.333333333333333,0.3,0.714285714285714,0.25,0.75,0.5,0.375,0.49927036905865,0.342508552668733,0.351109376868408,0.372123574685247,0.40383117563033,0.28135351624951,0.275013209346071,0.269857633898937,0.269221110313083,0.2413456062568,0.4375,0.34375,0.59375,0.5,0.546875,0.40625,0.515625,0.453125,0.546875,0.5,NaN,0.65625,0.636363636363636,0.5625,0.416666666666667,0.40625,0.48936170212766,0.453125,0.478260869565217,0.359375,NaN,NaN,0.476190476190476,0.5,0.421875,0.53125,0.46031746031746,0.46875,0.546875,0.46875,NaN,0.65625,0.625,0.65625,0.453125,0.546875,0.390625,0.40625,0.5625,0.421875,64,0.5,32,0.549673376873983
TMS_behavior_108_20190208T091117.mat,108,20190208,09:11:17,young,NaN,128,0.461538461538462,0.815789473684211,0.125,0.472222222222222,0.0263157894736842,0.5,0.0645161290322581,0.483333333333333,0.515625,0.671875,0.307692307692308,0.368421052631579,0.0526315789473684,0.307692307692308,0.15625,0.34375,0.625,NaN,NaN,0.7,NaN,0,0,0.333333333333333,0,0,0.1,0.05,0,0,0.625,0.6,0.5,0.7,0.25,0,1,0.465036541052541,0.375030508062991,0.412446077346431,0.572301028815673,1.4283146540638,NaN,NaN,NaN,NaN,NaN,0.46875,0.53125,0.53125,0.4375,0.796875,NaN,NaN,NaN,NaN,NaN,NaN,0.5625,0.785714285714286,0.6875,0.461538461538462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.611111111111111,0.482758620689655,0.0645161290322581,NaN,NaN,NaN,NaN,NaN,NaN,0.5625,0.625,0.40625,0.515625,1,1,1,1,1,64,1,NaN,NaN,0.722222222222222,NaN,0.75,1,0,0.5,0.625,0.722222222222222,0.166666666666667,0.5,0,1,0.5,0.777777777777778,0.722222222222222,0.833333333333333,0.75,0,0.420815717183359,0.376726372276607,0.370367764341609,0.428095413888514,0.864195601435313,0.421582403098,0.469443556406077,0.451428238407971,1.70111680024092,1.11819763976564,0.5625,0.40625,0.4375,0.625,0.515625,0.484375,0.546875,0.515625,0.421875,0.875,NaN,0.65625,0.636363636363636,0.53125,0.815789473684211,0.578125,0.903225806451613,0.59375,0.8125,0.453125,NaN,NaN,0.25,0.428571428571429,0.483333333333333,0.53968253968254,0.492063492063492,0.53125,0.578125,0.109375,NaN,0.65625,0.78125,0.5625,0.671875,0.3125,0.875,0.40625,0.8125,0.609375,64,0.875,56,2.78133516218304e-10
TMS_behavior_109_20190211T113232.mat,109,20190211,11:32:32,young,NaN,128,0.470588235294118,0.466666666666667,0.1875,0.321428571428571,0.133333333333333,0.235294117647059,0.161290322580645,0.274193548387097,0.375,0.5625,0.235294117647059,0.4,0,0.117647058823529,0.125,0.25,0.416666666666667,NaN,NaN,0.3,NaN,0.333333333333333,1,0.25,0.111111111111111,0,0.3,0.333333333333333,0,0,0.416666666666667,0.444444444444444,0.666666666666667,0.3,0.333333333333333,0.333333333333333,0,0.596032527753778,0.48866021079084,0.523992673519388,0.566605870844796,0.851520994914608,NaN,NaN,NaN,NaN,NaN,0.59375,0.375,0.375,0.5,0.8125,NaN,NaN,NaN,NaN,NaN,NaN,0.71875,0.666666666666667,0.5625,0.470588235294118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.545454545454545,0.428571428571429,0.161290322580645,NaN,NaN,NaN,NaN,NaN,NaN,0.71875,0.4375,0.5625,0.375,1,1,1,1,1,64,0.375,NaN,NaN,0.375,NaN,0.833333333333333,0.375,0.625,0.142857142857143,0.333333333333333,0.375,0.285714285714286,0,0.125,0.375,0.571428571428571,1,0.375,0.428571428571429,0.833333333333333,0.625,0.574738727293152,0.428403770285513,0.523632807660761,0.580812816495381,0.79751514153395,0.645165849935438,0.553033290712847,0.535757840963925,0.510692321089664,0.529788115232805,0.5,0.5,0.53125,0.3125,0.75,0.828125,0.8125,0.796875,0.828125,0.859375,NaN,0.5625,0.714285714285714,0.65625,0.466666666666667,0.296875,0.125,0.203125,0.145454545454545,0.1875,NaN,NaN,0.555555555555556,0.555555555555556,0.274193548387097,0.21875,0.1875,0.265625,0.171875,0.140625,NaN,0.5625,0.53125,0.53125,0.5625,0.171875,0.109375,0.140625,0.125,0.09375,64,0.859375,55,1.77111159072041e-09
TMS_behavior_10_20180320T091044.mat,10,20180320,09:10:44,old,NaN,128,0.538461538461538,0.421052631578947,0.153846153846154,0.263157894736842,0.0526315789473684,0.192307692307692,0.09375,0.234375,0.59375,0.484375,0.307692307692308,0.210526315789474,0.105263157894737,0.230769230769231,0.1875,0.21875,0.25,NaN,NaN,0.875,NaN,0.5,0.375,0.25,0.0833333333333333,0,0.125,0.0833333333333333,0.166666666666667,0.125,0.25,0.416666666666667,0.571428571428571,0.875,0.75,0.5,0.625,1.39326197839546,1.47077074719709,1.20211610032857,1.40558501154737,1.94680690109089,NaN,NaN,NaN,NaN,NaN,0.5,0.53125,0.40625,0.40625,0.8125,NaN,NaN,NaN,NaN,NaN,NaN,0.59375,0.692307692307692,0.71875,0.538461538461538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.555555555555556,0.607142857142857,0.09375,NaN,NaN,NaN,NaN,NaN,NaN,0.59375,0.625,0.625,0.59375,1,1,1,1,1,64,0.25,NaN,NaN,0.5,NaN,0.6,0.5,0.25,0.166666666666667,0.285714285714286,0.5,0,0.2,0,0.25,0.833333333333333,0.571428571428571,0.5,0.333333333333333,0.6,0.5,1.25230338699475,1.20875724984944,1.35024022826838,1.20399132685998,2.37286271205085,1.59918931755237,1.60248767860321,0.986225260123319,1.13954550764902,0.866295267063833,0.375,0.4375,0.53125,0.5,0.671875,0.71875,0.703125,0.71875,0.71875,0.71875,NaN,0.6875,0.8,0.46875,0.421052631578947,0.328125,0.0909090909090909,0.046875,0,0,NaN,NaN,0.476190476190476,0.6,0.234375,0.234375,0.265625,0.26984126984127,0.234375,0.21875,NaN,0.6875,0.59375,0.53125,0.484375,0.140625,0.078125,0.046875,0,0,64,0.71875,46,0.000308689132033524
TMS_behavior_110_20190212T091906.mat,110,20190212,09:19:06,young,NaN,128,0.392857142857143,0.555555555555556,0.25,0.166666666666667,0.111111111111111,0.25,0.171875,0.203125,0.390625,0.640625,0.0714285714285714,0.222222222222222,0.222222222222222,0.214285714285714,0.15625,0.21875,0.25,NaN,NaN,0.5,NaN,0,0.666666666666667,0.25,0,0.125,0.25,0.25,1,0,0.25,0.166666666666667,0.75,0.5,0.25,0,0.333333333333333,0.65678193293752,0.482009960309369,0.526003770659372,0.836651068679203,2.0023060342246,NaN,NaN,NaN,NaN,NaN,0.4375,0.4375,0.59375,0.53125,0.828125,NaN,NaN,NaN,NaN,NaN,NaN,0.75,0.625,0.65625,0.392857142857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.478260869565217,0.448275862068966,0.171875,NaN,NaN,NaN,NaN,NaN,NaN,0.75,0.53125,0.5625,0.390625,1,1,1,1,1,64,0.333333333333333,NaN,NaN,0.5,NaN,0.7,0.625,0,0.2,0.285714285714286,0.166666666666667,0.25,0.1,0.375,0.333333333333333,0.8,0.857142857142857,0.5,0.75,0.7,0.375,0.560750695900424,0.415214342419858,0.384498976594841,0.432781549125139,1.96934196367692,1.3618600222344,1.09186768435393,0.702863550126494,0.6968681612816,0.483367146238379,0.4375,0.34375,0.59375,0.5,0.765625,0.875,0.859375,0.859375,0.84375,0.828125,NaN,0.65625,0.636363636363636,0.5625,0.555555555555556,0.453125,0.2,0.1875,0.172413793103448,0.140625,NaN,NaN,0.476190476190476,0.5,0.203125,0.125,0.0476190476190476,0.109375,0.1875,0.0952380952380952,NaN,0.65625,0.625,0.65625,0.640625,0.203125,0.171875,0.125,0.140625,0.140625,64,0.828125,53,5.02928991785723e-08
